Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,755.000000,760.000000,740.000000,752.349976,752.349976,11694854
2021-11-02,752.500000,761.349976,748.049988,755.849976,755.849976,11812106
2021-11-03,759.450012,762.650024,748.500000,750.599976,750.599976,10529505
2021-11-04,757.000000,757.049988,751.400024,752.950012,752.950012,793433
2021-11-08,761.000000,761.000000,741.500000,751.049988,751.049988,13872770
2021-11-09,750.000000,753.950012,743.349976,745.049988,745.049988,12120207
2021-11-10,742.700012,753.349976,732.000000,749.349976,749.349976,10844883
2021-11-11,748.000000,748.000000,735.099976,738.049988,738.049988,6195359
2021-11-12,742.799988,742.799988,733.500000,736.049988,736.049988,9372897
2021-11-15,738.000000,744.000000,728.000000,733.250000,733.250000,12849161
2021-11-16,733.250000,733.299988,721.299988,726.150024,726.150024,8978763
2021-11-17,721.000000,724.900024,706.750000,712.349976,712.349976,18083445
2021-11-18,715.000000,716.000000,701.900024,706.349976,706.349976,13458109
2021-11-22,713.000000,713.000000,677.400024,686.400024,686.400024,16741079
2021-11-23,681.000000,692.650024,677.349976,685.650024,685.650024,16575348
2021-11-24,690.000000,695.099976,682.049988,685.150024,685.150024,11463429
2021-11-25,686.000000,687.000000,676.549988,679.900024,679.900024,9760486
2021-11-26,669.000000,674.900024,660.450012,661.750000,661.750000,10252753
2021-11-29,665.049988,665.450012,649.349976,651.099976,651.099976,12084376
2021-11-30,648.000000,677.450012,648.000000,655.650024,655.650024,24699809
2021-12-01,664.900024,681.400024,660.000000,679.599976,679.599976,16184200
2021-12-02,675.000000,678.799988,668.049988,676.099976,676.099976,8612601
2021-12-03,679.099976,687.349976,671.000000,673.000000,673.000000,9505985
2021-12-06,674.000000,678.750000,661.150024,663.099976,663.099976,8022785
2021-12-07,672.000000,691.549988,670.000000,687.000000,687.000000,15123987
2021-12-08,695.000000,701.549988,687.650024,697.099976,697.099976,11670826
2021-12-09,698.150024,699.900024,688.000000,693.950012,693.950012,7021395
2021-12-10,690.099976,691.950012,683.750000,688.049988,688.049988,5549743
2021-12-13,699.000000,711.900024,693.099976,704.000000,704.000000,13634563
2021-12-14,701.000000,714.000000,697.599976,710.900024,710.900024,8612512
2021-12-15,712.400024,720.000000,707.549988,712.500000,712.500000,7692888
2021-12-16,719.000000,721.950012,705.049988,709.650024,709.650024,7309187
2021-12-17,707.500000,708.000000,685.099976,688.900024,688.900024,7844705
2021-12-20,680.950012,681.849976,660.099976,674.349976,674.349976,9934646
2021-12-21,683.000000,683.000000,662.500000,665.849976,665.849976,10116104
2021-12-22,670.000000,676.849976,664.000000,669.349976,669.349976,7489534
2021-12-23,677.000000,684.500000,672.599976,678.799988,678.799988,6884683
2021-12-24,681.150024,682.000000,662.450012,667.500000,667.500000,6028893
2021-12-27,663.049988,674.599976,655.950012,672.150024,672.150024,6996729
2021-12-28,677.299988,680.849976,672.000000,675.450012,675.450012,4645547
2021-12-29,674.500000,679.599976,667.250000,670.500000,670.500000,3969894
2021-12-30,668.000000,673.099976,664.500000,668.849976,668.849976,5119705
2021-12-31,672.950012,686.500000,671.200012,678.549988,678.549988,5586980
2022-01-03,680.250000,698.500000,679.000000,696.349976,696.349976,8550860
2022-01-04,701.000000,711.049988,700.049988,709.150024,709.150024,9705906
2022-01-05,711.900024,730.900024,707.750000,726.900024,726.900024,11312955
2022-01-06,719.950012,733.500000,719.000000,730.299988,730.299988,7955578
2022-01-07,734.000000,740.900024,725.250000,730.599976,730.599976,10454143
2022-01-10,733.650024,744.000000,733.200012,742.799988,742.799988,9595787
2022-01-11,742.900024,747.049988,737.299988,743.250000,743.250000,7252279
2022-01-12,749.650024,751.450012,743.150024,746.849976,746.849976,5294563
2022-01-13,749.000000,749.000000,737.049988,740.700012,740.700012,5196538
2022-01-14,734.799988,735.950012,716.049988,721.700012,721.700012,16302342
2022-01-17,719.000000,720.599976,709.500000,712.650024,712.650024,19680557
2022-01-18,717.500000,735.900024,714.250000,725.200012,725.200012,24055886
2022-01-19,725.200012,731.950012,718.700012,729.599976,729.599976,7746270
2022-01-20,731.049988,737.150024,722.150024,728.900024,728.900024,8505400
2022-01-21,722.000000,725.250000,708.049988,712.500000,712.500000,10689060
2022-01-24,715.000000,716.400024,688.200012,704.599976,704.599976,8812501
2022-01-25,714.000000,755.000000,708.599976,752.200012,752.200012,38088158
2022-01-27,744.000000,777.000000,738.099976,773.849976,773.849976,34927774
2022-01-28,778.099976,784.700012,761.500000,764.700012,764.700012,17765524
2022-01-31,775.450012,777.799988,762.349976,773.049988,773.049988,12319200
2022-02-01,778.099976,793.900024,769.099976,781.900024,781.900024,15457534
2022-02-02,790.000000,805.900024,787.349976,804.099976,804.099976,13478899
2022-02-03,802.200012,811.900024,793.049988,799.549988,799.549988,10802708
2022-02-04,796.950012,804.500000,791.150024,798.549988,798.549988,10776387
2022-02-07,802.500000,803.599976,784.099976,789.599976,789.599976,10939179
2022-02-08,794.000000,801.000000,776.150024,798.549988,798.549988,12300670
2022-02-09,801.000000,809.500000,800.150024,803.849976,803.849976,9399830
2022-02-10,807.549988,815.950012,803.099976,809.799988,809.799988,12848281
2022-02-11,800.950012,809.900024,798.500000,803.799988,803.799988,9717894
2022-02-14,790.000000,803.000000,769.950012,773.349976,773.349976,8617389
2022-02-15,777.000000,799.099976,764.299988,796.950012,796.950012,7426563
2022-02-16,795.000000,808.299988,789.299988,797.049988,797.049988,7457765
2022-02-17,797.000000,802.000000,780.500000,782.799988,782.799988,6516308
2022-02-18,781.150024,790.549988,779.000000,787.400024,787.400024,5466662
2022-02-21,783.549988,796.799988,776.099976,788.849976,788.849976,5635224
2022-02-22,766.099976,787.000000,766.099976,779.150024,779.150024,6923558
2022-02-23,783.500000,785.500000,772.250000,777.200012,777.200012,6303173
2022-02-24,752.400024,769.150024,725.299988,730.299988,730.299988,13085009
2022-02-25,742.299988,764.849976,737.400024,758.049988,758.049988,10066136
2022-02-28,749.900024,749.900024,736.200012,742.400024,742.400024,14463418
2022-03-02,728.700012,756.450012,725.000000,750.250000,750.250000,11691602
2022-03-03,756.000000,759.450012,732.400024,737.650024,737.650024,8357181
2022-03-04,723.000000,732.500000,710.049988,715.000000,715.000000,11660648
2022-03-07,693.000000,705.000000,655.599976,667.549988,667.549988,20147061
2022-03-08,665.000000,673.750000,637.000000,670.400024,670.400024,24828458
2022-03-09,671.500000,680.500000,659.099976,674.200012,674.200012,20438651
2022-03-10,707.900024,720.400024,688.250000,694.950012,694.950012,23224756
2022-03-11,691.900024,706.650024,687.450012,690.849976,690.849976,14224356
2022-03-14,694.700012,712.400024,685.000000,710.049988,710.049988,10720884
2022-03-15,713.000000,718.000000,695.000000,698.150024,698.150024,12157425
2022-03-16,711.000000,726.000000,709.099976,723.849976,723.849976,10038170
2022-03-17,737.000000,746.750000,736.450012,739.250000,739.250000,13657428
2022-03-21,745.000000,749.400024,723.700012,725.900024,725.900024,7495685
2022-03-22,729.000000,736.000000,706.349976,731.400024,731.400024,11117081
2022-03-23,736.099976,742.900024,724.650024,726.750000,726.750000,5886245
2022-03-24,719.099976,730.450012,719.000000,722.250000,722.250000,7559843
2022-03-25,723.299988,726.650024,715.500000,721.250000,721.250000,5430894
2022-03-28,726.000000,737.900024,715.049988,736.000000,736.000000,7077669
2022-03-29,741.650024,741.650024,731.000000,737.799988,737.799988,6174137
2022-03-30,747.000000,765.849976,741.299988,750.450012,750.450012,16618114
2022-03-31,763.000000,763.000000,751.299988,761.150024,761.150024,20449544
2022-04-01,760.000000,775.750000,755.150024,774.549988,774.549988,9321859
2022-04-04,780.000000,785.500000,767.000000,784.099976,784.099976,10959783
2022-04-05,776.000000,796.000000,776.000000,783.099976,783.099976,7334134
2022-04-06,777.000000,779.950012,769.200012,773.700012,773.700012,9954921
2022-04-07,769.500000,795.000000,769.200012,792.099976,792.099976,9820244
2022-04-08,794.900024,800.700012,789.000000,794.900024,794.900024,8104237
